Local Body Code,Local Body Name,Local Body Type,"District Level
Parent Name
","Intermediate Level
Parent Name",Ward Code,"Ward
Number","Ward Name
(In English)
","Ward Name
(In Local)
"
103939,West Lalchari,Village Panchayat,Dhalai,Ambassa,617324,4,West Lalchari IV South Part of Jiten Deb Para,?????? ?????? IV ?????? ????? ????? ??? ????
103939,West Lalchari,Village Panchayat,Dhalai,Ambassa,617325,5,West Lalchari V Kartik Debbarma Para,?????? ?????? V ??????? ???????? ????
261234,Baligaon,Village Panchayat,Dhalai,Durga Chowmuhani,761586,1,Baligaon I Part of Ganganagar Revenue Mouza Baligaon North Ghosh Para Bhar Para Parsi Para School Para,??????? I ???????? ?????? ???? ????? ??? ???? ??? ??? ???? ?????  ????
261234,Baligaon,Village Panchayat,Dhalai,Durga Chowmuhani,761587,2,Baligaon II Part of Ganganagar Revenue MouzaBaligaon East Santi Para Bhairab Sarani Datta Para Bisawas Para Paul Para,??????? II ???????? ?????? ???? ????? ?????? ????  ???? ?????  ???????? ??????? ???? ??? ????
261234,Baligaon,Village Panchayat,Dhalai,Durga Chowmuhani,761588,3,Baligaon III Part of Ganganagar Revenue Mouza Middle Part of Ganganagar Dhigha Par,??????? III ???????? ?????? ???? ???????? ???? ??? ?? ???? ???
261234,Baligaon,Village Panchayat,Dhalai,Durga Chowmuhani,761589,4,Baligaon IV Part of Ganganagar Revenue Mouza West Part of Ganganagar Kabar Khala Par,??????? IV???????? ?????? ???? ?????? ????? ???????? ??? ???? ???
261234,Baligaon,Village Panchayat,Dhalai,Durga Chowmuhani,761590,5,Baligaon V Part of Ganganagar Revenue Mouza East Part of Ganganagar Ganganagar SB School Para,??????? V ???????? ?????? ???? ???????? ????? ???? ???? ????? ????
261234,Baligaon,Village Panchayat,Dhalai,Durga Chowmuhani,761591,6,Baligaon VI Part of Ganaganagar Revenue Mouza Baligaon South Fauji Para Baligaon School South Part Das Para Tin Murti Para,??????? VI ???????? ?????? ???? ?????? ???? ???? ????? ???? ??? ???? ??? ??????????
103943,Bamancherra,Village Panchayat,Dhalai,Durga Chowmuhani,89385,1,Bamancherra I Northern Part of Chulubari Revenue Mouza West Part of Nanda Kishore Para,???????? I ????? ????? ??????? ?????? ???? ?????? ????
103943,Bamancherra,Village Panchayat,Dhalai,Durga Chowmuhani,761690,2,Bamancherra II Entire Bamanchara Revenue Mouza Anil Chandra Para and East Part of Nanda Kishore Para,???????? II ???? ?????? ???? ???  ???? ????? ???? ?????
103943,Bamancherra,Village Panchayat,Dhalai,Durga Chowmuhani,761691,3,Bamancherra III Entire Bamancharra Revenue Mouza Kabidas Para Gurucharan Para and West part of Jogesh Sarkar Para,???????? III ???????? ???????? ???? ?????? ???? ??????? ???? ??? ????? ????? ???? ?????? ???
103943,Bamancherra,Village Panchayat,Dhalai,Durga Chowmuhani,761692,4,Bamancherra IV Part of Bamanchara revenue Mouza East Part of Jogesh Sarkar Para and Bhuban Deb Para,???????? IV ????? ????? ????? ???? ??? ???? ??? ???? ???????? ???? ???
103943,Bamancherra,Village Panchayat,Dhalai,Durga Chowmuhani,761693,5,Bamancherra V Entire Bamanchara Revenue Mouza Jogesh Namasudra Para and East Part of Durgadhar Para,???????? V ???????? ???????? ????
103943,Bamancherra,Village Panchayat,Dhalai,Durga Chowmuhani,761694,6,Bamancherra VI Northern Part of Chulubari Revenue Mouza Nirod Nath Para Bipul Das Para and West Part of Durgadhar Para,???????? VI ????? ????? ??????? ??????
103945,Bilashcherra,Village Panchayat,Dhalai,Durga Chowmuhani,117165,1,Bilashcherra I Entire South Bilashchara Revenue Mouza Rangicherra Kathalbari Laxmanchari and North Part of Bagaichara,????????? I ????? ?????? ????????? ?????? ???? ?????????? ????????? ??????????? ???????????? ????? ?????
103945,Bilashcherra,Village Panchayat,Dhalai,Durga Chowmuhani,761750,2,Bilashcherra II Part of North Bilashchara Revenue Mouza Bilashchara Harilal Gour Para Radhamohan Para Madhya Para SC Colony,????????? II  ?????  ????????? ?????? ????
103945,Bilashcherra,Village Panchayat,Dhalai,Durga Chowmuhani,761751,3,Bilashcherra III Part of North Bilashchara Revenue Mouza Bilashchara Muslim Colony Bhairabtali School Para Bamboothal,????????? III ?????  ????????? ?????? ????
103945,Bilashcherra,Village Panchayat,Dhalai,Durga Chowmuhani,761752,4,Bilashcherra IV Part of North Bilashchara Revenue Mouza Amtali part of Bilashchara and Benia Tilla,????????? IV ?????  ????????? ?????? ????
103945,Bilashcherra,Village Panchayat,Dhalai,Durga Chowmuhani,761753,5,Bilashcherra V Part of North Bilashchara Revenue Mouza Dhanchari Part of Bilashchara South Part of Bagaichari Baraitali Nutan Bagan and South Part of Bilashchara,????????? V ?????  ????????? ?????? ????
103947,Choto Surma,Village Panchayat,Dhalai,Durga Chowmuhani,110461,1,Chotosurma I Part of Chotosurma Revenue MouzaShibpujanahir Para North Side Rabidas Para and East Side of Shibpujanahir Para,??????????? I ??????????? ?????? ???? ??? ???????????? ????  ?????  ???? ??? ??? ????
103947,Choto Surma,Village Panchayat,Dhalai,Durga Chowmuhani,761825,2,Chotosurma II Part of Chotosurma Revenue Mouza Shibpujanahir Para East Side 20 Card Colony and North Sardargram,??????????? II ??????????? ?????? ???? ??? ???????????? ????  ????? ????  ?? ????? ?????  ???  ?????  ???????????
103947,Choto Surma,Village Panchayat,Dhalai,Durga Chowmuhani,761826,3,Chotosurma III Part of Chotosurma Revenue Mouza South Sardargram Para and Lengutia Para,??????????? III ??????????? ?????? ???? ??? ?????? ??????????? ????  ??? ?????????
103947,Choto Surma,Village Panchayat,Dhalai,Durga Chowmuhani,761827,4,Chotosurma IV Part of Chotosurma Revenue Mouza Sudhan Para Kalibari and East Part of 12 dun 12 Card,??????????? IV ??????????? ?????? ???? ???
103947,Choto Surma,Village Panchayat,Dhalai,Durga Chowmuhani,761828,5,Chotosurma V Part of Chotosurma Revenue Mouza 12 card para Part of 12 dun 12 Card West Part of 12 dun 12 Card and East Part of Noagoan 3 Number Para,??????????? V ??????????? ?????? ???? ??? 12 ????? ???? ???  ???????? 3 ?? ????
103947,Choto Surma,Village Panchayat,Dhalai,Durga Chowmuhani,761829,6,Chotosurma VI Part of Chotosurma Revenue Mouza Noagaon Para Part of Noagaon 3 no. Para West Part of Sardargram and West Part of Noagaon 3 no. Para,??????????? VI ??????????? ?????? ???? ??? ?????? ??? 3 ??  ???? ????????
103948,Chulubari,Village Panchayat,Dhalai,Durga Chowmuhani,82084,1,Chulubari I Entire Chulubari Revenue Mouza Sonadhan Das Para,???????? I ???????? ???????? ???? ???? ??? ????
103948,Chulubari,Village Panchayat,Dhalai,Durga Chowmuhani,761909,2,Chulubari II Entire Chulbri Revenue Mouza Arjun Nagbanshi Para and Gangacharan Debbarma Para,???????? II ???????? ???????? ???? ?????? ???????? ???? ??? ????????  ???????? ????
103948,Chulubari,Village Panchayat,Dhalai,Durga Chowmuhani,761910,3,Chulubari III Entire Chulubari Revenue Mouza Sabdakar Para Sushil Das Para Chintaharan Debbarma Para and Ramlaxman Para,
103948,Chulubari,Village Panchayat,Dhalai,Durga Chowmuhani,761911,4,Chulubari IV Entire Chulubari Revenue Mouza Prabhat Das Para Subal Das Para Dayan Debbarma Para and Part of Jagannath Gour Para,???????? IV ???????? ???????? ???? ?????? ??? ????  ??? ????  ???????? ????
103948,Chulubari,Village Panchayat,Dhalai,Durga Chowmuhani,761912,5,Chulubari V Entire Chulubari Revenue Mouza Pran Kumar Das Para and Sambhu Das Para,???????? V ???????? ???????? ???? ????? ????? ??? ????  ??? ??? ????
103948,Chulubari,Village Panchayat,Dhalai,Durga Chowmuhani,761913,6,Chulubari VI Entire Chulubari Revenue Mouza Bhagbath Tati Para of Rupchan Das Para,???????? VI ???????? ???????? ???? ?????? ??? ????  ????? ??? ????
103950,Debicherra,Village Panchayat,Dhalai,Durga Chowmuhani,761953,1,Debicherra I Entire Part of Debichara Revenue Mouza North Debicherra Dhawaja Tilla and North Part of Kalitilla,???????? I ???????? ???????? ????? ????? ????????  ?????? ????  ???  ????? ???????? ? ???
103950,Debicherra,Village Panchayat,Dhalai,Durga Chowmuhani,761954,2,Debicherra II Part of Debichara Revenue Mouza Kalitilla,???????? II ???????? ?????  ????????
103950,Debicherra,Village Panchayat,Dhalai,Durga Chowmuhani,761955,3,Debicherra III Entire Debichara Revenue Mouza East Debicherra and Telenga Basti,???????? III ???????? ???????? ????? ???????? ?????  ????? ????????
103950,Debicherra,Village Panchayat,Dhalai,Durga Chowmuhani,761956,4,Debicherra IV Entire Debichara Revenue Mouza Kamaranga and Kathalbari,???????? IV ???????? ???????? ?????  ????????? ??? ?????????
103950,Debicherra,Village Panchayat,Dhalai,Durga Chowmuhani,761957,5,Debicherra V East Part of South Debicherra and West Part of South Debicherra,???????? V ???????? ???????? ????? ????? ??? ?????? ???????? ???
103950,Debicherra,Village Panchayat,Dhalai,Durga Chowmuhani,761958,6,Debicherra VI Entire Debichara Revenue Mouza Debicherra Basti,???????? VI ???????? ???????? ????? ???????? ?????
103951,Duraishib Bari,Village Panchayat,Dhalai,Durga Chowmuhani,762032,1,Duraishib Bari I Non ADC Part of Duraichara Revenue Mouza Bhubancherra and Madhyadurai,???????????? I ??  ????? ????? ????????? ?????? ????? ????????  ??? ????????
103951,Duraishib Bari,Village Panchayat,Dhalai,Durga Chowmuhani,762033,2,Duraishib Bari II Part of Halahali Revenue Mouza North West Part of Halahali Shibbari,???????????? II ???????? ???? ????? ?????? ????????  ??????? ???
103951,Duraishib Bari,Village Panchayat,Dhalai,Durga Chowmuhani,762034,3,Duraishib Bari III Part of Halahali Revenue Mouza Krishnanagar,???????????? III ???????? ???? ????? ???
103951,Duraishib Bari,Village Panchayat,Dhalai,Durga Chowmuhani,762035,4,Duraishib Bari IV Non ADC Part of Duraichara Revenue Mouza East Kaimai Namasudra Para and East Part of Suklabaidya Para,???????????? IV ??  ????? ????? ????????? ?????? ????? ????? ?????? ??????? ????
103951,Duraishib Bari,Village Panchayat,Dhalai,Durga Chowmuhani,762036,5,Duraishib Bari V Non ADC Part of Revenue Mouza East Durai Mantulal Sen Para West Part of Suklabaidya Para and Singbhumij Para,???????????? V ??  ????? ????? ????????? ?????? ????? ???????? ????
103952,East Lamboochara,Village Panchayat,Dhalai,Durga Chowmuhani,762105,1,East Lamboochara I Entire Lamboochara Revenue Mouza Khas Tilla,????? ?????????? I ???????? ?????????? ???? ???????
103952,East Lamboochara,Village Panchayat,Dhalai,Durga Chowmuhani,762106,2,East Lamboochara II Entire Lamboochara Revenue Mouza Karnamoni Para,????? ?????????? II ???????? ?????????? ???? ??????? ????
103952,East Lamboochara,Village Panchayat,Dhalai,Durga Chowmuhani,762107,3,East Lamboochara III Enitre Lamboochara Revenue Mouza Barajabi Para and Makhan Sen Para,????? ?????????? III ???????? ?????????? ???? ?????? ???? ???? ??? ????
103952,East Lamboochara,Village Panchayat,Dhalai,Durga Chowmuhani,762108,4,East Lamboochara IV Entire Lamboochara Revenue Mouza Pratap Ghosh Para and Rajendra Ghosh Para,????? ?????????? IV ???????? ?????????? ???? ?????? ??? ????  ????????? ??? ????
103952,East Lamboochara,Village Panchayat,Dhalai,Durga Chowmuhani,762109,5,East Lamboochara V Entire Lamboochara Revenue Mouza Nabin Bar,????? ?????????? V ???????? ?????????? ????  ???? ????
103953,Halhali,Village Panchayat,Dhalai,Durga Chowmuhani,88096,1,Halhali I Part of Halhali Revenue Mouza East Side of West Halahali Part,???????? I ???????? ???? ????? ?????? ???????? ????? ????
103953,Halhali,Village Panchayat,Dhalai,Durga Chowmuhani,762271,2,Halhali II Part of Halahali Revenue Mouza Part of West Halahali School Para,???????? II ???????? ???? ????? ?????? ???????? ????? ????
103953,Halhali,Village Panchayat,Dhalai,Durga Chowmuhani,762272,3,Halhali III Part of Halahali Revenue Mouza Halahali,???????? III ???????? ???? ????? ????????
103953,Halhali,Village Panchayat,Dhalai,Durga Chowmuhani,762273,4,Halhali IV Part of Halahali Revenue Mouza East of Halahali,???????? IV ???????? ???? ????? ????????  ????? ????
103953,Halhali,Village Panchayat,Dhalai,Durga Chowmuhani,762274,5,Halhali V Part of Halahali Revenue Mouza South Halahal,???????? V ???????? ???? ????? ???????? ?????? ????
103953,Halhali,Village Panchayat,Dhalai,Durga Chowmuhani,762275,6,Halhali VI Part of Nakful Revenue Mouza East Nakful,???????? VI ?????? ???? ????? ??????
103953,Halhali,Village Panchayat,Dhalai,Durga Chowmuhani,762276,7,Halhali VII Part of Nakful Revenue Mouza West Nakful,???????? VII ?????? ???? ????? ??????
103954,Halhuli,Village Panchayat,Dhalai,Durga Chowmuhani,103520,1,Halhuli I Part of Panchasi Revenue Mouza Halhuli and Singibil,
103954,Halhuli,Village Panchayat,Dhalai,Durga Chowmuhani,762581,2,Halhuli II Part of Halhuli Revenue Mouza Chandan Nagar and Barasurma,??????? II ??????? ???? ??? ???????? ????????
103954,Halhuli,Village Panchayat,Dhalai,Durga Chowmuhani,762582,3,Halhuli III Part of Halhuli Revenue Mouza North Part of Lalchari and Tehshil Para of Barasurma,??????? III ??????? ???? ??? ????? ?????? ?????? ????  ????????
103954,Halhuli,Village Panchayat,Dhalai,Durga Chowmuhani,762583,4,Halhuli IV Part of Halhuli Revenue Mouza South Part of Lalchari,??????? IV??????? ???? ??? ?????? ??????? ???
103954,Halhuli,Village Panchayat,Dhalai,Durga Chowmuhani,762584,5,Halhuli V Part of Panchasi Revenue Mouza East Part of Panchasi,??????? V ?????? ???? ??? ????? ?????? ???
103954,Halhuli,Village Panchayat,Dhalai,Durga Chowmuhani,762585,6,Halhuli VI Part of Phanchasi Revenue Mouza West Part of Panchasi and North Part of Panchasi,??????? VI ?????? ???? ??? ????? ? ?????? ?????? ???
103955,Harerkhola,Village Panchayat,Dhalai,Durga Chowmuhani,762712,1,Harerkhola I The Entire Harerkhola Revenue Mouza West Part of Tangla Para,??????? I ???????? ??????? ???? ?????? ???? ?????? ???
103955,Harerkhola,Village Panchayat,Dhalai,Durga Chowmuhani,762713,2,Harerkhola II The Entire Harerkhola revenue Mouza Homeless Para,??????? II ???????? ??????? ???? ????? ????
103955,Harerkhola,Village Panchayat,Dhalai,Durga Chowmuhani,762714,3,Harerkhola III The Entire Harerkhola Revenue Mouza Dhalai River Band Para,??????? III ???????? ??????? ???? ???? ????
103955,Harerkhola,Village Panchayat,Dhalai,Durga Chowmuhani,762715,4,Harerkhola IV The Entire Harekhola Revenue Mouza Rickshaw Puller Para,??????? IV ???????? ??????? ???? ??????? ??????? ????
103955,Harerkhola,Village Panchayat,Dhalai,Durga Chowmuhani,762716,5,Harerkhola V The Entire Harerkhola Revenue Mouza Baidyakar Para,??????? V ???????? ??????? ???? ???????? ????
103956,Kalachari,Village Panchayat,Dhalai,Durga Chowmuhani,762827,1,Kalachari I Part of Kalachari Revenue Mouza Kunda Para Part of Kalachari 3 and Kunda Para Part of Kalachari 3 Rasikdas Para,?????? I ?????? ???? ??? ?????? ???? 3 ??????? ????
103956,Kalachari,Village Panchayat,Dhalai,Durga Chowmuhani,762828,2,Kalachari II Part of Kalachari Revenue Mouza Jyotish Ghosh Para Part of Kalachari 1 and Jyotish Ghosh Para Part of Kalachari 1 Suklabaidhya Para,?????? II ?????? ???? ??? ??????? ??? ????  ??????????? ????
103956,Kalachari,Village Panchayat,Dhalai,Durga Chowmuhani,762829,3,Kalachari III Part of Kalachari Revenue Mouza Athghar Part of Kalachari 1 and Athghar Part of Kalachari 1 Badyakar Para,?????? III ?????? ???? ??? ???? ???? ???????? ????
103956,Kalachari,Village Panchayat,Dhalai,Durga Chowmuhani,762830,4,Kalachari IV Part of Kalachari Revenue mouza Dhalai Par Part of Kalachari 1 1 No. Kalachari Colony and Dhalai Par Dhalai Bank Para,?????? IV ?????? ???? ???  ???? ??????
103956,Kalachari,Village Panchayat,Dhalai,Durga Chowmuhani,762831,5,Kalachari V Part of Kalachari Revenue Mouza Madhya Para,??????? V ??????? ????? ???? ???? ????
103957,Kuchainala,Village Panchayat,Dhalai,Durga Chowmuhani,762897,1,Kuchainala I Part of Kuchainala Revenue Mouza Kuchainala,???????? I ???????? ???? ????? ????????
103957,Kuchainala,Village Panchayat,Dhalai,Durga Chowmuhani,762898,2,Kuchainala II Part of Kuchainala Revenue Mouza North Kuchainala,???????? II ???????? ???? ????? ????? ????????
103957,Kuchainala,Village Panchayat,Dhalai,Durga Chowmuhani,762899,3,Kuchainala III Part of Kuchainala Revenue Mouza East Kuchainala,???????? III ???????? ???? ????? ????? ????????
103957,Kuchainala,Village Panchayat,Dhalai,Durga Chowmuhani,762900,4,Kuchainala IV Part of Kuchainala Revenue Mouza South Kuchainala,???????? IV ???????? ???? ????? ?????? ????????
103957,Kuchainala,Village Panchayat,Dhalai,Durga Chowmuhani,762901,5,Kuchainala V Part of Kuchainala Revenue MouzaNagbanshi,???????? V ???????? ???? ????? ???????
103958,Mahabir,Village Panchayat,Dhalai,Durga Chowmuhani,762998,1,Mahabir I Part of Mahabr Revenue Moza West Para of East West Tilula,?????? I ?????? ???? ????? ?????? ???? ?? ????? ?????? ????????
103958,Mahabir,Village Panchayat,Dhalai,Durga Chowmuhani,762999,2,Mahabir II Part of Mahabir Revenue MouzaEast and West Para of East West Tilla,?????? II ?????? ???? ?????  ?????? ???? ?? ????? ?????? ????
103958,Mahabir,Village Panchayat,Dhalai,Durga Chowmuhani,763000,3,Mahabir III Part of Mahabir Revenue Mouza East and Gour Para of East West Tilla,?????? III ?????? ???? ????? ??? ???? ????? ?????? ????
103958,Mahabir,Village Panchayat,Dhalai,Durga Chowmuhani,763001,4,Mahabir IV The Entire Mahabir Revenue Mouza Natun Bagan,?????? IV ???????? ?????? ???? ????? ???? ?????
103958,Mahabir,Village Panchayat,Dhalai,Durga Chowmuhani,763002,5,Mahabir V The Entire Mahabir Revenue Mouza Mahabir Basti Madhanpur and Rupchan Debbarma Para,?????? V ???????? ?????? ???? ????? ?????? ?????  ???????? ???  ????? ???????? ????
103959,Manikbhandar,Village Panchayat,Dhalai,Durga Chowmuhani,105756,1,Manikbhander I Part of Manikbhander Revenue Mouza Manikbhander and Manikbhander Bazar of Bazar Para,???????????? I ???????????? ???? ??? ???????????? ?? ????? ????
103959,Manikbhandar,Village Panchayat,Dhalai,Durga Chowmuhani,763194,2,Manikbhandar II Part of Manikbhander Revenue Mouza Kandigram Kandigram North Part of Kandigram Bazarpara Kandigram North Part of Manikbhander,???????????? II ???????????? ???? ???  ????? ??????????? ?? ??? ????? ????
103959,Manikbhandar,Village Panchayat,Dhalai,Durga Chowmuhani,763195,3,Manikbhandar III Part of Manikbhander Revenue Mouza Bhubancherra Hira Datta Para Maina Debbarma Para Nirod Deb Para and Harendra Deb Para,???????????? III ???????????? ???? ??? ???? ???? ????  ???? ???????? ????  ???? ??? ????  ???????? ??? ????
103959,Manikbhandar,Village Panchayat,Dhalai,Durga Chowmuhani,763196,4,Manikbhandar IV Part of Manikbhander Revenue Mouza Kandigram South Part of Kandigram Bishnu Debbarma Para and West Manikbhandar Maina Debbarma Para Hira Datta Para Datta Para,???????????? IV ???????????? ???? ??? ?????? ??????????? ?????? ???????? ????  ?????? ????????????  ??? ???????? ????
103959,Manikbhandar,Village Panchayat,Dhalai,Durga Chowmuhani,763197,5,Manikbhandar V Part of Manikbhander Revenue Mouza Bazar Para Datta Para Sadhu Bari Tehshil Para and Manikbhandar North Part of Manikbhandar,???????????? V ???????????? ???? ??? ????? ???? ???? ????  ?????? ????  ??? ????? ???????????? ???
103960,Maracherra,Village Panchayat,Dhalai,Durga Chowmuhani,112688,1,Maracherra I The Entire Maracherra Revenue Mouza North Maracherra and West Part of East Sonarai,??? ???? I ???????? ??? ????  ???? ????
103960,Maracherra,Village Panchayat,Dhalai,Durga Chowmuhani,763422,2,Maracherra II The Entire Maracherra Revenue Mouza East Sonarai and North Part of South Sonarai,??? ???? II ???????? ??? ????  ???? ????
103960,Maracherra,Village Panchayat,Dhalai,Durga Chowmuhani,763423,3,Maracherra III The Entire Maracherra Revenue Mouza South Sonarai and North Part of Kartikgram,??? ???? III ???????? ??? ????  ???? ????
103960,Maracherra,Village Panchayat,Dhalai,Durga Chowmuhani,763424,4,Maracherra IV The Entire Maracherra Revenue Mouza Kartikgram,??? ???? IV ???????? ??? ????  ???? ????
103960,Maracherra,Village Panchayat,Dhalai,Durga Chowmuhani,763425,5,Maracherra V The Entire Maracherra Revenue MouzaNorth West Part of Kartikgram and Maracherra Bazar,??? ???? V ???????? ??? ????  ???? ????
103960,Maracherra,Village Panchayat,Dhalai,Durga Chowmuhani,763426,6,Maracherra VI The Entire Maracherra Revenue Mouza North Part of Maracherra Bazar and South Part of East Sonarai,??? ???? VI ???????? ??? ????  ???? ????
103961,Mayachari,Village Panchayat,Dhalai,Durga Chowmuhani,763513,1,Mayachari I The Entire Mayachari Revenue Mouja 10 No. Basti and 10 No. Para,??????? I ???????? ???????  ???? 10 ?? ???? ??? 10 ?? ?????
103961,Mayachari,Village Panchayat,Dhalai,Durga Chowmuhani,763515,2,Mayachari II The Entire Mayachari Revenue Mouja Homeless Colony and North East Part of Ramdurlavpur,??????? II ???????? ???????  ???? ??????? ????? ??? ????? ?????  ????????? ????
103961,Mayachari,Village Panchayat,Dhalai,Durga Chowmuhani,763517,3,Mayachari III The Entire Maychari revenue Mouja Barkanta Para and Khastilla,??????? III ???????? ???????  ???? ???????? ??? ???????
103961,Mayachari,Village Panchayat,Dhalai,Durga Chowmuhani,763519,4,Mayachari IV the entire Mayachari Revenue Mouja South West Part of Ramdurlavpur,??????? IV ???????? ???????  ???? ????????? ???? ?????? ?????? ?????
103961,Mayachari,Village Panchayat,Dhalai,Durga Chowmuhani,763521,5,Mayachari V The entire Bishnupur Revenue Mouja Chaitan kanda Para and Surma Para,???????  V ???????? ?????????  ????????? ????
103961,Mayachari,Village Panchayat,Dhalai,Durga Chowmuhani,763523,6,Mayachari VI The Entire Bishupur Revenue Mouja Dasarath Para and Natun Bagan,??????? VI ???????? ?????????  ???? ???? ???? ???? ?????
103963,Mohanpur,Village Panchayat,Dhalai,Durga Chowmuhani,100761,1,Mohanpur I The Entire Mohanpur Revenue Mouja 1 No. Malaya,??????? I ???????? ???????  ???? ????? 1 ?? ????
