Local Body Code,Local Body Name,Local Body Type,"District Level Parent Name
",Intermediate Level Parent Name,Ward Code,Ward Number,"Ward Name (In English)
","Ward Name (In Local)
"
510,ERNAKULAM,District Panchayat,,,694391,8,Valakom,?????
510,ERNAKULAM,District Panchayat,,,694398,9,Koothattukulam,??????????????
510,ERNAKULAM,District Panchayat,,,694401,10,Piravom,?????
510,ERNAKULAM,District Panchayat,,,694407,11,UdayamPeroor,???????????
510,ERNAKULAM,District Panchayat,,,694415,12,Mulamthuruthy,????????????
510,ERNAKULAM,District Panchayat,,,694428,13,Kumblangi,??????????
510,ERNAKULAM,District Panchayat,,,694431,14,Puthencruz,??????????????
510,ERNAKULAM,District Panchayat,,,694445,15,Kolencherry,?????????
510,ERNAKULAM,District Panchayat,,,694448,16,Vengola,???????
510,ERNAKULAM,District Panchayat,,,694581,17,Keezhmad,????????
510,ERNAKULAM,District Panchayat,,,694586,18,Edathala,??????
510,ERNAKULAM,District Panchayat,,,694587,19,Kadungalloor,?????????????
510,ERNAKULAM,District Panchayat,,,694588,20,Vallarpadom,??????????????
510,ERNAKULAM,District Panchayat,,,694589,21,Vypin,?????????
510,ERNAKULAM,District Panchayat,,,694590,22,Cherai,??????
510,ERNAKULAM,District Panchayat,,,694591,23,Moothakunnam,???????????
510,ERNAKULAM,District Panchayat,,,694592,24,kottuvally,???????????
510,ERNAKULAM,District Panchayat,,,694593,25,Alangad,????????
510,ERNAKULAM,District Panchayat,,,694594,26,Nedumbassery,??????????????
511,IDUKKI,District Panchayat,,,694331,1,Adimali,???????
511,IDUKKI,District Panchayat,,,694332,2,Munnar,?????????
511,IDUKKI,District Panchayat,,,694333,3,Devikulam,????????
511,IDUKKI,District Panchayat,,,694334,4,Rajakkad,??????????
511,IDUKKI,District Panchayat,,,694335,5,Murikkasseri,??????????????
511,IDUKKI,District Panchayat,,,694336,6,Nedumkandam,??????????
511,IDUKKI,District Panchayat,,,694337,7,Pampadumpara,????????????
511,IDUKKI,District Panchayat,,,694338,8,Kattappana,????????
511,IDUKKI,District Panchayat,,,694339,9,Vandanmedu,???????????
511,IDUKKI,District Panchayat,,,694340,10,Vandiperiyar,????????????????
511,IDUKKI,District Panchayat,,,694341,11,Vagaman,???????
511,IDUKKI,District Panchayat,,,694342,12,Peerumdau,????????
511,IDUKKI,District Panchayat,,,694343,13,Moolamattam,????????
511,IDUKKI,District Panchayat,,,694344,14,Karinkunnam,???????????
511,IDUKKI,District Panchayat,,,694345,15,Karimannoor,???????????
511,IDUKKI,District Panchayat,,,694346,16,Painavu,??????
513,KASARAGOD,District Panchayat,,,694733,1,Vorkady,??????????
513,KASARAGOD,District Panchayat,,,694735,2,Puthige,????????
513,KASARAGOD,District Panchayat,,,694736,3,Edaneer,???????
513,KASARAGOD,District Panchayat,,,694737,4,Delampady,????????
513,KASARAGOD,District Panchayat,,,694738,5,Bedakam,Bedakam
513,KASARAGOD,District Panchayat,,,694739,6,Panathady,???????
513,KASARAGOD,District Panchayat,,,694740,7,Chittarikkal,??????????????
513,KASARAGOD,District Panchayat,,,694741,8,Karindalam,????????
513,KASARAGOD,District Panchayat,,,694742,9,Pilicode,??????????
514,KOLLAM,District Panchayat,,,87678,1,Kulasekharapuram,???????????
514,KOLLAM,District Panchayat,,,621564,2,Oachira,??????
514,KOLLAM,District Panchayat,,,621565,3,Thodiyoor,?????????
514,KOLLAM,District Panchayat,,,621567,4,Sooranadu,???????
514,KOLLAM,District Panchayat,,,621571,5,Kunnathoor,????????????
514,KOLLAM,District Panchayat,,,621572,6,Neduvathoor,????????????
514,KOLLAM,District Panchayat,,,621590,7,Kottarakkara,???????????
514,KOLLAM,District Panchayat,,,621601,8,Thalavoor,???????
514,KOLLAM,District Panchayat,,,621632,9,Pathanapuram,??????????
514,KOLLAM,District Panchayat,,,621637,10,Vettikavala,?????????
514,KOLLAM,District Panchayat,,,621664,11,Karavaloor,?????????
514,KOLLAM,District Panchayat,,,621671,12,Anchal,???????
514,KOLLAM,District Panchayat,,,621675,13,Kulathuppuzha,????????????
514,KOLLAM,District Panchayat,,,621676,14,Chithara,????
514,KOLLAM,District Panchayat,,,621677,15,Chadayamangalam,????????
514,KOLLAM,District Panchayat,,,621681,16,Velinalloor,????????????
514,KOLLAM,District Panchayat,,,621682,17,Veliam,??????
514,KOLLAM,District Panchayat,,,621683,18,Nedumpana,????????
514,KOLLAM,District Panchayat,,,621684,19,Ithikkara,?????????
514,KOLLAM,District Panchayat,,,621685,20,Kalluvathukkal,???????????????
514,KOLLAM,District Panchayat,,,621837,21,Mukhathala,???????
514,KOLLAM,District Panchayat,,,621839,22,Kottamkara,????????
514,KOLLAM,District Panchayat,,,621859,23,Kundara,??????
514,KOLLAM,District Panchayat,,,621863,24,Anchalummudu,?????????????
514,KOLLAM,District Panchayat,,,621864,25,Chavara,???
514,KOLLAM,District Panchayat,,,621866,26,Thevalakkara,????????
515,KOTTAYAM,District Panchayat,,,93619,1,Vaikom,??????
515,KOTTAYAM,District Panchayat,,,694238,2,Velloor,?????????
515,KOTTAYAM,District Panchayat,,,694246,3,Kaduthuruthy,?????????????
515,KOTTAYAM,District Panchayat,,,694247,4,Uzhavoor,???????
515,KOTTAYAM,District Panchayat,,,694249,5,Kuravilangad,????????????
515,KOTTAYAM,District Panchayat,,,694250,6,Bharananganam,?????????
515,KOTTAYAM,District Panchayat,,,694251,7,Erattupetta,????????????
515,KOTTAYAM,District Panchayat,,,694252,8,Poonjar,?????????
515,KOTTAYAM,District Panchayat,,,694253,9,Mundakkayam,??????????
515,KOTTAYAM,District Panchayat,,,694254,10,Erumeli,???????
515,KOTTAYAM,District Panchayat,,,694255,11,Kanjirappally,??????????????
515,KOTTAYAM,District Panchayat,,,694256,12,Ponkunnam,???????????
515,KOTTAYAM,District Panchayat,,,694257,13,Kangazha,?????
515,KOTTAYAM,District Panchayat,,,694258,14,Pampady,????????
515,KOTTAYAM,District Panchayat,,,694259,15,Ayarkunnam,?????????????
515,KOTTAYAM,District Panchayat,,,694260,16,Puthuppally,???????????
515,KOTTAYAM,District Panchayat,,,694261,17,Vakathanam,?????????
515,KOTTAYAM,District Panchayat,,,694262,18,Thrikkodithanam,??????????????
515,KOTTAYAM,District Panchayat,,,694263,19,Kurichi,????????
515,KOTTAYAM,District Panchayat,,,694264,20,Kumarakom,??????
515,KOTTAYAM,District Panchayat,,,694265,21,Ettumanoor,????????????
515,KOTTAYAM,District Panchayat,,,694266,22,Athirampuzha,?????????
515,KOTTAYAM,District Panchayat,,,694267,23,Thalayazham,??????
516,KOZHIKODE,District Panchayat,,,120558,1,Ward No. 1,Ward No. 1
516,KOZHIKODE,District Panchayat,,,694743,10,Cheruvathur,????????????
517,MALAPPURAM,District Panchayat,,,81396,1,Ward No. 1,Ward No. 1
518,PALAKKAD,District Panchayat,,,694627,1,Cherplassery,??????????????
518,PALAKKAD,District Panchayat,,,694628,2,Sreekrishnapuram,????????????
518,PALAKKAD,District Panchayat,,,694629,3,Alanallur,??????????
518,PALAKKAD,District Panchayat,,,694630,4,Mannarkkad,??????????????
518,PALAKKAD,District Panchayat,,,694631,5,Attappady,??????????
518,PALAKKAD,District Panchayat,,,694632,6,Kanjirappuzha,????????????
518,PALAKKAD,District Panchayat,,,694633,7,Kongad,????????
518,PALAKKAD,District Panchayat,,,694634,8,Puduppariyaram,?????????????
518,PALAKKAD,District Panchayat,,,694635,9,Malampuzha,???????
518,PALAKKAD,District Panchayat,,,694636,10,Pudussery,??????????
518,PALAKKAD,District Panchayat,,,694637,11,Kozhinjampara,????????????
518,PALAKKAD,District Panchayat,,,694638,12,Meenakshipuram,????????????
518,PALAKKAD,District Panchayat,,,694639,13,Koduvayoor,???????????
518,PALAKKAD,District Panchayat,,,694640,14,Kollengode,???????????
518,PALAKKAD,District Panchayat,,,694641,15,Nenmara,?????????
518,PALAKKAD,District Panchayat,,,694642,17,Kizhakkenchery,????????????
518,PALAKKAD,District Panchayat,,,694643,18,Alathur,?????????
518,PALAKKAD,District Panchayat,,,694644,19,Tharur,??????
518,PALAKKAD,District Panchayat,,,694645,20,Pirayiri,????????
518,PALAKKAD,District Panchayat,,,694646,21,Kottayi,????????
518,PALAKKAD,District Panchayat,,,694647,22,Lakkidi,???????
518,PALAKKAD,District Panchayat,,,694648,23,Vaniyamkulam,??????????
518,PALAKKAD,District Panchayat,,,694649,24,Muthuthala,??????
518,PALAKKAD,District Panchayat,,,694652,25,Chalissery,??????????
518,PALAKKAD,District Panchayat,,,694653,26,Nagalassery,??????????
518,PALAKKAD,District Panchayat,,,694655,27,Thiruvegappura,????????????
518,PALAKKAD,District Panchayat,,,694656,28,Kulukkallur,??????????????
518,PALAKKAD,District Panchayat,,,694658,29,Chalavara,????
519,PATHANAMTHITTA,District Panchayat,,,692438,1,Pulikkeezhu,??????????
519,PATHANAMTHITTA,District Panchayat,,,692440,2,Mallappally,???????????
519,PATHANAMTHITTA,District Panchayat,,,692446,3,Anikkadu,?????????
519,PATHANAMTHITTA,District Panchayat,,,692447,4,Angadi,???????
519,PATHANAMTHITTA,District Panchayat,,,692448,5,Ranni,??????
519,PATHANAMTHITTA,District Panchayat,,,692450,6,Chittar,?????????
519,PATHANAMTHITTA,District Panchayat,,,692453,8,Konni,??????
519,PATHANAMTHITTA,District Panchayat,,,692459,9,Pramadom,???????
519,PATHANAMTHITTA,District Panchayat,,,692461,10,Kodumon,????????
519,PATHANAMTHITTA,District Panchayat,,,692465,7,Malayalappuzha,??????????
519,PATHANAMTHITTA,District Panchayat,,,692526,11,Enathu,???????
519,PATHANAMTHITTA,District Panchayat,,,692529,12,Pallickal,???????????
519,PATHANAMTHITTA,District Panchayat,,,692532,13,Pandalam,??????
520,THIRUVANANTHAPURAM,District Panchayat,,,103078,1,Chemmaruthi,?????????
520,THIRUVANANTHAPURAM,District Panchayat,,,617995,2,Navaikkulam,????????????
520,THIRUVANANTHAPURAM,District Panchayat,,,617996,3,Kilimanoor,???????????
520,THIRUVANANTHAPURAM,District Panchayat,,,620608,4,Kallara,?????
520,THIRUVANANTHAPURAM,District Panchayat,,,620609,5,Venjarammoodu,?????????????
520,THIRUVANANTHAPURAM,District Panchayat,,,620610,6,Anad,?????
520,THIRUVANANTHAPURAM,District Panchayat,,,620611,7,Palode,??????
520,THIRUVANANTHAPURAM,District Panchayat,,,620612,8,Aryanad,????????
520,THIRUVANANTHAPURAM,District Panchayat,,,620613,9,Vellanad,?????????
520,THIRUVANANTHAPURAM,District Panchayat,,,620614,10,Poovachal,?????????
520,THIRUVANANTHAPURAM,District Panchayat,,,620615,11,Vellarada,???????
520,THIRUVANANTHAPURAM,District Panchayat,,,620619,12,Kunnathukal,??????????????
520,THIRUVANANTHAPURAM,District Panchayat,,,620620,13,Parassala,????????
520,THIRUVANANTHAPURAM,District Panchayat,,,620621,14,Mariyapuram,?????????
520,THIRUVANANTHAPURAM,District Panchayat,,,620622,15,Kanjiramkulam,????????????
520,THIRUVANANTHAPURAM,District Panchayat,,,620623,16,Balaramapuram,??????????
520,THIRUVANANTHAPURAM,District Panchayat,,,620624,17,Venganoor,???????????
520,THIRUVANANTHAPURAM,District Panchayat,,,620625,18,Pallichal,???????????
520,THIRUVANANTHAPURAM,District Panchayat,,,620626,19,Malayinkeezh,???????????
520,THIRUVANANTHAPURAM,District Panchayat,,,620627,20,Karakulam,??????
520,THIRUVANANTHAPURAM,District Panchayat,,,620639,21,Mudakkal,??????????
520,THIRUVANANTHAPURAM,District Panchayat,,,620640,22,Kaniyapuram,?????????
520,THIRUVANANTHAPURAM,District Panchayat,,,620641,23,Murukkumpuzha,????????????
520,THIRUVANANTHAPURAM,District Panchayat,,,620642,24,Kizhuvilam,????????
520,THIRUVANANTHAPURAM,District Panchayat,,,620643,25,Chirayinkeezh,????????????
520,THIRUVANANTHAPURAM,District Panchayat,,,620644,26,Manamboor,?????????
521,THRISSUR,District Panchayat,,,110699,1,Punnayoorkkulam,????????????????
521,THRISSUR,District Panchayat,,,694595,2,Kadavallur,??????????
521,THRISSUR,District Panchayat,,,694596,3,Thali,???
521,THRISSUR,District Panchayat,,,694597,4,Vallathol Nagar,??????????? ?????
521,THRISSUR,District Panchayat,,,694598,5,Thiruvilwamala,????????????
521,THRISSUR,District Panchayat,,,694599,6,Chelakkara,???????
521,THRISSUR,District Panchayat,,,694600,7,Wadakkancherry,????????????
521,THRISSUR,District Panchayat,,,694601,8,Mulamkunnathukavu,??????????????????
521,THRISSUR,District Panchayat,,,694602,9,Madakkathara,??????????
521,THRISSUR,District Panchayat,,,694603,10,Puthur,?????????
521,THRISSUR,District Panchayat,,,694604,11,Amballur,???????????
521,THRISSUR,District Panchayat,,,694605,12,Pudukkad,??????????
521,THRISSUR,District Panchayat,,,694606,13,Athirappally,???????????
521,THRISSUR,District Panchayat,,,694607,14,Muringur,???????????
521,THRISSUR,District Panchayat,,,694608,15,Ashtamichira,???????????
521,THRISSUR,District Panchayat,,,694609,16,Aloor,??????
521,THRISSUR,District Panchayat,,,694610,17,Parappukkara,??????????
521,THRISSUR,District Panchayat,,,694611,18,Azhikode,?????????
521,THRISSUR,District Panchayat,,,694612,19,Mathilakam,??????
521,THRISSUR,District Panchayat,,,694613,20,Thriprayar,??????????
521,THRISSUR,District Panchayat,,,694614,21,Kattur,?????????
521,THRISSUR,District Panchayat,,,694619,22,Cherpu,?????????
521,THRISSUR,District Panchayat,,,694620,23,Ammadam,???????
521,THRISSUR,District Panchayat,,,694621,24,Anthikkad,???????????
521,THRISSUR,District Panchayat,,,694622,25,Thalikkulam,?????????
521,THRISSUR,District Panchayat,,,694623,26,Orumanayoor,??????????
521,THRISSUR,District Panchayat,,,694624,27,Mullassery,???????????
521,THRISSUR,District Panchayat,,,694625,28,Peramangalam,?????????
521,THRISSUR,District Panchayat,,,694626,29,Choondal,????????
522,WAYANAD,District Panchayat,,,103179,1,Thavinhal,??????????
522,WAYANAD,District Panchayat,,,694710,2,Thirunelly,??????????
522,WAYANAD,District Panchayat,,,694712,3,Mananthavady,??????????
522,WAYANAD,District Panchayat,,,694714,4,Panamaram,?????
522,WAYANAD,District Panchayat,,,694715,5,Mullankolly,??????????????
522,WAYANAD,District Panchayat,,,694717,6,Pulpally,????????????
522,WAYANAD,District Panchayat,,,694719,7,Kaniyambetta,???????????
522,WAYANAD,District Panchayat,,,694720,8,Meenangadi,?????????
522,WAYANAD,District Panchayat,,,694721,9,Sulthan Batheri,???????????????????
522,WAYANAD,District Panchayat,,,694722,10,Cheeral,???????
522,WAYANAD,District Panchayat,,,694724,11,Thomattuchal,?????????????
522,WAYANAD,District Panchayat,,,694726,12,Muttil,?????????
522,WAYANAD,District Panchayat,,,694728,13,Meppadi,????????
522,WAYANAD,District Panchayat,,,694729,14,Pozhuthana,??????
522,WAYANAD,District Panchayat,,,694730,15,Padinharathara,????????????
522,WAYANAD,District Panchayat,,,694731,16,Vellamunda,??????????
220968,AMBALAPPUZHA ( NORTH ),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486605,1,VANDANAM COASTAL AREA,??????? ???????
220968,AMBALAPPUZHA ( NORTH ),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486606,2,T.D.M.C WARD,????.??.??.?? ???????
220968,AMBALAPPUZHA ( NORTH ),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486607,3,KURAVANTHODU EAST,??????????? ???????
220968,AMBALAPPUZHA ( NORTH ),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486608,4,VANDANAM EAST,??????? ???????
220968,AMBALAPPUZHA ( NORTH ),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486609,5,VANDANAM SOUTH,??????? ??????
220968,AMBALAPPUZHA ( NORTH ),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486610,6,PANCHAYAT OFFICE WARD,?????????? ????? ???????
220968,AMBALAPPUZHA ( NORTH ),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486611,7,NEERKUNNAM EAST,????????????? ???????
220968,AMBALAPPUZHA ( NORTH ),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486612,8,KANJIPPADAM NORTH,??????????? ??????
220968,AMBALAPPUZHA ( NORTH ),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486613,9,KANJIPPADAM SOUTH,??????????? ??????
220968,AMBALAPPUZHA ( NORTH ),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486614,10,VALANJAVAZHY EAST,???????? ???????
220968,AMBALAPPUZHA ( NORTH ),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486615,11,KAKKAZHOM H S WARD,???????? ????? ??? ???????
220968,AMBALAPPUZHA ( NORTH ),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486616,12,KAMBIVALAPPU WARD,??????????? ???????
220968,AMBALAPPUZHA ( NORTH ),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486617,13,KAKKAZHOM WEST WARD,???????? ????????? ???????
220968,AMBALAPPUZHA ( NORTH ),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486618,14,BEACH WARD,?????? ???????
220968,AMBALAPPUZHA ( NORTH ),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486619,15,VALANJAVAZHY WEST,???????? ?????????
220968,AMBALAPPUZHA ( NORTH ),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486620,16,NEERKUNNAM WEST,????????????? ?????????
220968,AMBALAPPUZHA ( NORTH ),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486621,17,M C H WARD,?? ?? ????? ???????
220968,AMBALAPPUZHA ( NORTH ),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486622,18,SISUVIHAR,???????????
220969,AMBALAPPUZHA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486692,1,KAKKAZHAM WEST,???????? ?????????
220969,AMBALAPPUZHA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486693,2,KAKKAZHAM EAST,???????? ???????
220969,AMBALAPPUZHA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486694,3,KATTAKKUZHI,??????????
220969,AMBALAPPUZHA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486695,4,KANJIPADAM,???????????
220969,AMBALAPPUZHA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486696,5,SAKTHISWARY,??????????
220969,AMBALAPPUZHA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486697,6,KARUMADY WEST,??????? ?????????
220969,AMBALAPPUZHA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486698,7,KARUMADY,???????
220969,AMBALAPPUZHA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486699,8,AMAYIDA,?????
220969,AMBALAPPUZHA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486700,9,AMAYIDA WEST,????? ?????????
220969,AMBALAPPUZHA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486701,10,AMBALAPUZHA,??????????
220969,AMBALAPPUZHA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486702,11,KOMANA NORTH,???? ??????
220969,AMBALAPPUZHA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486703,12,KOMANA,????
220969,AMBALAPPUZHA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486704,13,PANCHAYAT OFFICE,?????????? ??????
220969,AMBALAPPUZHA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486705,14,KOMANA SOUTH,???? ??????
220969,AMBALAPPUZHA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486706,15,KOMANA WEST,???? ?????????
220970,PUNNAPRA (NORTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486747,1,LOURD MATHA PALLY WARD,??????????? ????? ???????
220970,PUNNAPRA (NORTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486748,2,I T C WARD,? ???? ?? ???????
220970,PUNNAPRA (NORTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486749,3,BLOCK OFFICE WARD,???????? ????? ???????
220970,PUNNAPRA (NORTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486750,4,NAVATHARANGINI VAYANASALA,????????? ???????
220970,PUNNAPRA (NORTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486751,5,GOVT. HIGH SCHOOL WARD,??. ????????? ???????
220970,PUNNAPRA (NORTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486752,6,THOOKKUKULAM WARD,?????????? ???????
220970,PUNNAPRA (NORTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486753,7,PANCHAYATH OFFICE WARD,?????????? ????? ???????
220970,PUNNAPRA (NORTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486754,8,ASSAMBLY WARD,??????? ???????
220970,PUNNAPRA (NORTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486755,9,EERATHODE WARD,????????? ???????
220970,PUNNAPRA (NORTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486756,10,ASPINWALL WARD,????????????? ???????
220970,PUNNAPRA (NORTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486757,11,POONTHOTTAM WARD,?????????? ???????
220970,PUNNAPRA (NORTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486758,12,KURISHUPURA WARD,????????? ???????
220970,PUNNAPRA (NORTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486759,13,P H CENTER WARD,?? ????? ????????? ???????
220970,PUNNAPRA (NORTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486760,14,ST JOSEPH H S WARD,??????? ????? ????? ??? ???????
220970,PUNNAPRA (NORTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486761,15,VADACKAL WARD,??????????? ???????c
220970,PUNNAPRA (NORTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486762,16,I D PLOT WARD,? ?? ???????? ???????
220970,PUNNAPRA (NORTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486763,17,AMBEDKAR SCHOOL WARD,???????????? ??????? ???????
220971,PUNNAPRA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486846,1,SAMARABHUMI WARD,??????? ???????
220971,PUNNAPRA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486847,2,POLITECHNIC WARD,?????????????? ???????
220971,PUNNAPRA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486848,3,ARAVUKADU WARD,???????? ???????
220971,PUNNAPRA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486849,4,ERETHODU WARD,????????????????
220971,PUNNAPRA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486850,5,KARIMBAVALAVU WARD,??????????? ???????
220971,PUNNAPRA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486851,6,KARUTHAMADAM WARD,?????????? ???????
220971,PUNNAPRA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486852,7,VETTIKKARI WARD,??????????? ???????
220971,PUNNAPRA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486853,8,POTHASSERI WARD,??????????? ???????
220971,PUNNAPRA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486854,9,J.B.S SCHOOL WARD,??.??.??? ????????? ???????
220971,PUNNAPRA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486855,10,POWER HOUSE WARD,????????? ???????
220971,PUNNAPRA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486856,11,PANCHAYAT OFFICE WARD,?????????? ????? ???????
220971,PUNNAPRA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486857,12,S.M.C WARD,???.??.?? ???????
220971,PUNNAPRA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486858,13,RAILWAY STATION WARD,??????????????????? ???????
220971,PUNNAPRA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486859,14,FISHLAND CENTER WARD,???? ?????????? ????????? ???????
220971,PUNNAPRA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486860,15,ANJILIPARAMBU WARD,??????????????? ???????
220971,PUNNAPRA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486861,16,VIJAYANI PRADAYANI GRANDHASALA WARD,??????????????? ????????? ???????
220971,PUNNAPRA(SOUTH),Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486862,17,C.Y.M.A WARD,??.??.??.? ???????
220972,PURAKKAD,Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486883,1,PAYALKULANGARA,?????????????
220972,PURAKKAD,Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486884,2,KAROOR NORTH,?????? ??????
220972,PURAKKAD,Village Panchayat,ALAPPUZHA,AMBALAPPUZHA,1486885,3,KAROOR EAST,?????? ???????
